Latitude,Longitude,Sample Date,pet,ppt,q,soil,tmax,tmin,aet,month,pet_lag1,ppt_lag1,q_lag1,tmax_lag1,tmin_lag1,aet_lag1,pet_lag2,ppt_lag2,q_lag2,tmax_lag2,tmin_lag2,aet_lag2,pet_lag3,ppt_lag3,q_lag3,tmax_lag3,tmin_lag3,aet_lag3,ppt_roll3_sum,q_roll3_sum,ppt_roll6_sum,q_roll6_sum,ppt_roll12_sum,q_roll12_sum,tmin_roll3_mean,tmax_roll3_mean,soil_roll3_mean,tmin_roll6_mean,tmax_roll6_mean,soil_roll6_mean,tmin_roll12_mean,tmax_roll12_mean,soil_roll12_mean
-28.760833,17.730278,02-01-2011,174.2,32.7,1.6,0.0,36.1,22.689999,31.1,1,240.0,0.8,0.0,35.34,20.439999,0.8,219.6,3.0,0.1,32.94,17.35,2.8,189.6,0.1,0.0,29.88,14.599999,0.1,12.100000000000001,0.5,14.5,0.6000000000000001,14.5,0.6000000000000001,19.606667,34.679996,0.0,17.36,32.652,0.0,17.36,32.652,0.0
-26.861111,28.884722,03-01-2011,124.1,51.1,2.6,12.8,27.16,13.219999,53.8,1,159.6,100.9,5.0,26.93,13.08,96.200005,156.3,107.2,5.4,27.439999,12.179999,102.200005,165.8,27.1,1.4000000000000001,27.699999,9.63,26.1,383.1,19.200000000000003,410.3,20.6,410.3,20.6,13.119999,26.593332,14.466667,10.976,26.763998,10.52,10.976,26.763998,10.52
-26.45,28.085833,03-01-2011,127.5,62.7,3.1,6.8,27.519999,14.09,60.8,1,166.0,106.30000000000001,5.300000000000001,27.56,14.099999,101.200005,164.2,99.4,5.0,27.97,13.219999,94.700005,177.5,18.8,0.9,28.43,11.19,18.2,361.80000000000007,18.1,381.00000000000006,19.0,381.00000000000006,19.0,14.19,27.199999,5.433334,12.414,27.508001,4.76,12.414,27.508001,4.76
-27.671111,27.236944,03-01-2011,129.7,84.2,4.2,7.2000003,28.869999,14.639999,83.200005,1,186.7,122.4,6.1000000000000005,29.449999,14.809999,116.5,185.1,90.30000000000001,4.5,30.14,13.79,86.0,189.3,21.400000000000002,1.1,29.39,11.11,20.5,407.40000000000003,26.700000000000003,430.1,27.900000000000002,430.1,27.900000000000002,14.8533325,29.063332,10.8,12.684,28.965998,7.4800005,12.684,28.965998,7.4800005
-27.356667,27.286389,03-01-2011,129.2,78.0,3.9000000000000004,7.8,28.67,14.69,77.3,1,186.0,116.9,5.800000000000001,29.16,14.96,111.200005,181.7,88.5,4.4,29.76,13.929999,84.200005,190.0,20.6,1.0,29.32,11.37,19.800001,385.8,19.200000000000003,407.6,20.3,407.6,20.3,15.013333,28.71,8.366668,12.809999,28.658,5.9,12.809999,28.658,5.9
-27.01011111,26.69808333,04-01-2011,98.6,106.0,5.300000000000001,5.9,24.18,9.809999,98.6,1,192.3,114.7,5.7,29.539999,15.53,109.0,187.6,72.8,3.6,30.3,14.66,69.200005,195.8,16.3,0.8,29.91,11.849999,15.5,356.0,17.700000000000003,373.5,18.6,373.5,18.6,15.646667,29.229998,2.4333334,13.483999,29.178,1.9,13.483999,29.178,1.9
-25.127778,27.628889,04-01-2011,105.5,135.1,6.800000000000001,24.0,27.17,12.62,105.5,1,186.90001,100.0,5.0,31.88,17.96,95.0,187.5,78.10000000000001,3.9000000000000004,32.739998,17.289999,74.200005,200.90001,11.3,0.6000000000000001,33.52,15.41,10.7,285.5,14.3,296.8,14.9,296.8,14.9,18.006666,31.65,1.1333333,16.210001,31.973999,1.1600001,16.210001,31.973999,1.1600001
-25.20639,27.558,04-01-2011,103.700005,143.4,7.2,33.600002,27.0,12.5199995,103.700005,1,187.6,101.30000000000001,5.1000000000000005,31.789999,17.88,96.200005,187.1,77.80000000000001,3.9000000000000004,32.59,17.039999,73.9,198.90001,11.4,0.6000000000000001,33.239998,15.139999,10.900001,289.20000000000005,14.5,300.6,15.100000000000001,300.6,15.100000000000001,17.839998,31.47,1.1333333,16.023998,31.759998,1.1600001,16.023998,31.759998,1.1600001
-24.69514,27.40906,04-01-2011,111.8,141.1,7.1000000000000005,23.6,27.74,13.49,111.8,1,194.1,103.7,5.2,32.579998,19.039999,98.5,190.40001,77.60000000000001,3.9000000000000004,33.19,18.56,73.700005,204.40001,11.3,0.6000000000000001,33.89,16.97,10.8,289.5,14.500000000000002,300.90000000000003,15.1,300.90000000000003,15.1,19.146666,32.096664,1.4,17.439999,32.280003,1.4200001,17.439999,32.280003,1.4200001
-26.98472222,26.63227778,04-01-2011,98.200005,109.30000000000001,5.5,10.7,24.35,9.98,98.200005,1,191.0,115.10000000000001,5.800000000000001,29.63,15.61,109.4,188.0,71.5,3.6,30.369999,14.83,68.0,196.7,15.5,0.8,30.15,12.19,14.900001,356.90000000000003,17.9,373.6,18.8,373.6,18.8,15.813333,29.336668,3.9333334,13.691999,29.310001,3.16,13.691999,29.310001,3.16
