Latitude,Longitude,Sample Date,ppt_mean,ppt_3m,ppt_6m,time_y,aet_mean,aet_3m,aet_6m,water_balance_3m,water_balance_6m
-28.760833,17.730278,2011-01-02,11.412500000000001,16.75416666666667,19.479166666666668,2011-01-01,10.858334,15.916666865348816,18.52083370834589,0.8374998013178541,0.9583329583207778
-26.861111,28.884722,2011-01-03,177.2,386.61249999999995,414.7,2011-01-01,133.9875,333.58748626708984,361.1874881386757,53.02501373291011,53.5125118613243
-26.45,28.085833,2011-01-03,158.49655172413793,367.1965517241379,386.4172413793103,2011-01-01,141.68275,340.42413330078125,359.3068927526474,26.77241842335667,27.110348626662926
-27.671111,27.236944,2011-01-03,193.61666666666667,407.2166666666667,430.03333333333336,2011-01-01,152.08333,355.34999084472656,377.51665914058685,51.866675821940134,52.51667419274651
-27.356667,27.286389,2011-01-03,182.66923076923075,391.5076923076923,413.4153846153846,2011-01-01,151.26154,349.93460845947266,371.13845229148865,41.57308384821965,42.27693232389595
-27.01011111,26.69808333,2011-01-04,167.03333333333333,353.79999999999995,371.26666666666665,2011-01-01,155.33333,332.8333435058594,349.50001072883606,20.96665649414058,21.766655937830592
-25.127778,27.628889,2011-01-04,114.45000000000002,299.35,310.975,2011-01-01,108.775,284.5250015258789,295.6500022895634,14.824998474121116,15.324997710436605
-25.20639,27.558,2011-01-04,119.35000000000001,308.0615384615385,319.9076923076923,2011-01-01,113.411545,292.76539611816406,304.1038577891886,15.296142343374413,15.803834518503663
-24.69514,27.40906,2011-01-04,111.65454545454548,296.4363636363637,308.0454545454546,2011-01-01,106.08182,281.66363525390625,292.7090908065438,14.772728382457444,15.33636373891079
-26.98472222,26.63227778,2011-01-04,160.79999999999998,342.1833333333334,356.0083333333333,2011-01-01,151.25833,323.6833267211914,336.9624927043915,18.500006612141988,19.045840628941846
-28.141944,26.417778,2011-01-04,189.6125,400.31562500000007,421.725,2011-01-01,158.26877,358.7156524658203,379.45002722740173,41.599972534179756,42.27497277259829
-27.398611,26.614722,2011-01-04,175.12571428571428,374.8,396.86857142857144,2011-01-01,159.16856,348.9314270019531,369.99142837524414,25.868572998046886,26.877143053327302
-33.501667,21.624167,2011-01-04,13.9,56.800000000000004,99.4,2011-01-01,13.2,54.0,94.39999914169312,2.8000000000000043,5.0000008583068904
-32.502778,19.535833,2011-01-04,4.161111111111111,19.244444444444444,32.333333333333336,2011-01-01,3.955556,18.305556774139404,30.755556106567383,0.9388876703050393,1.577777226765953
-25.45963889,28.26430556,2011-01-04,121.036,303.68,319.932,2011-01-01,115.032005,288.6360092163086,304.1440081782639,15.043990783691413,15.787991821736114
-27.495556,26.074722,2011-01-04,163.68571428571428,342.25714285714287,357.1142857142857,2011-01-01,155.52144,325.17859649658203,339.3000258207321,17.078546360560836,17.814259893553583
-26.648056,27.089444,2011-01-05,158.69722222222222,352.49722222222226,367.01944444444445,2011-01-01,146.66669,331.00557708740234,345.083355486393,21.49164513481992,21.93608895805147
-26.970278,27.211111,2011-01-05,169.68571428571425,371.29999999999995,389.4142857142857,2011-01-01,148.08333,339.84761810302734,357.38095116615295,31.45238189697261,32.03333454813276
-27.38972222,26.46388889,2011-01-05,170.20000000000002,362.18181818181824,382.0090909090909,2011-01-01,160.86365,343.2818374633789,362.1363835334778,18.899980718439338,19.872707375613118
-27.044444,27.005,2011-01-05,175.27999999999997,376.5228571428571,396.21999999999997,2011-01-01,150.81714,342.24571228027344,361.2857131958008,34.27714486258367,34.93428680419919
-30.830556,26.921389,2011-01-06,135.4565217391304,326.71304347826083,387.4869565217391,2011-01-01,128.70436,310.4304542541504,368.19132232666016,16.28258922411044,19.295634195078947
-27.00222,28.76528,2011-01-06,179.93333333333334,395.9555555555556,427.55555555555554,2011-01-01,134.78888,340.6222152709961,371.51110392808914,55.33334028455948,56.0444516274664
-27.02314,28.59389,2011-01-06,178.27000000000004,395.27000000000004,425.55000000000007,2011-01-01,136.47,343.26000213623047,372.92000353336334,52.00999786376957,52.629996466636726
