Latitude,Longitude,Sample Date,pet,ppt,q,soil,tmax,tmin,aet
-28.760833,17.730278,02-01-2011,174.2,32.7,1.6,0.0,36.1,22.689999,31.1
-26.861111,28.884722,03-01-2011,124.1,51.1,2.6,12.8,27.16,13.219999,53.8
-26.45,28.085833,03-01-2011,127.5,62.7,3.1,6.8,27.519999,14.09,60.8
-27.671111,27.236944,03-01-2011,129.7,84.2,4.2,7.2000003,28.869999,14.639999,83.200005
-27.356667,27.286389,03-01-2011,129.2,78.0,3.9000000000000004,7.8,28.67,14.69,77.3
-27.01011111,26.69808333,04-01-2011,98.6,106.0,5.300000000000001,5.9,24.18,9.809999,98.6
-25.127778,27.628889,04-01-2011,105.5,135.1,6.800000000000001,24.0,27.17,12.62,105.5
-25.20639,27.558,04-01-2011,103.700005,143.4,7.2,33.600002,27.0,12.5199995,103.700005
-24.69514,27.40906,04-01-2011,111.8,141.1,7.1000000000000005,23.6,27.74,13.49,111.8
-26.98472222,26.63227778,04-01-2011,98.200005,109.30000000000001,5.5,10.7,24.35,9.98,98.200005
-28.141944,26.417778,04-01-2011,93.8,90.9,4.5,4.8,23.88,8.78,87.700005
-27.398611,26.614722,04-01-2011,100.9,97.2,4.9,2.9,24.8,9.87,92.700005
-33.501667,21.624167,04-01-2011,100.200005,16.3,0.8,0.1,24.55,9.33,15.5
-32.502778,19.535833,04-01-2011,119.9,16.2,0.8,0.6,27.06,10.92,15.400001
-25.45963889,28.26430556,04-01-2011,103.6,141.9,7.1000000000000005,32.5,26.4,12.04,103.6
-27.495556,26.074722,04-01-2011,99.700005,99.5,5.0,0.4,24.73,9.17,94.5
-26.648056,27.089444,05-01-2011,83.5,63.300000000000004,3.2,12.2,21.92,5.92,70.5
-26.970278,27.211111,05-01-2011,82.1,66.7,3.3000000000000003,14.900001,21.859999,6.14,72.5
-27.38972222,26.46388889,05-01-2011,83.200005,97.4,4.9,9.7,22.81,6.98,83.200005
-27.044444,27.005,05-01-2011,82.4,74.60000000000001,3.7,13.0,21.949999,6.25,75.6
-30.830556,26.921389,06-01-2011,57.0,54.1,2.7,8.0,14.589999,-0.94,53.100002
-27.00222,28.76528,06-01-2011,70.0,26.400000000000002,1.3,15.6,17.38,-2.55,37.100002
-27.02314,28.59389,06-01-2011,72.4,27.0,1.3,13.5,17.869999,-2.26,32.600002
-30.679722,26.7125,06-01-2011,59.8,44.900000000000006,2.2,5.1,15.74,-0.61,44.4
-30.160091,27.40124,06-01-2011,57.4,53.800000000000004,2.7,15.900001,14.62,-0.44,54.0
-32.595833,19.009444,06-01-2011,52.7,73.2,3.7,19.1,19.279999,6.42,52.7
-25.99136,27.84208,10-01-2011,173.2,48.0,2.4000000000000004,6.3,28.539999,11.05,46.7
-26.73806,27.59194,10-01-2011,179.40001,39.5,2.0,5.3,28.34,10.179999,38.5
-26.45,28.085833,10-01-2011,172.90001,45.300000000000004,2.3000000000000003,5.6,27.91,10.01,43.9
-30.86013889,29.07125,10-01-2011,138.0,28.8,1.4000000000000001,9.900001,25.609999,10.95,30.1
-27.356667,27.286389,10-01-2011,185.8,31.6,1.6,3.7,29.06,10.19,30.5
-27.01011111,26.69808333,11-01-2011,191.7,44.300000000000004,2.2,2.3,30.09,12.559999,42.3
-25.73411,27.21422,11-01-2011,182.5,56.2,2.8000000000000003,5.6,29.99,12.88,54.2
-26.98472222,26.63227778,11-01-2011,192.0,44.300000000000004,2.2,2.7,30.16,12.74,42.4
-27.398611,26.614722,11-01-2011,197.40001,45.2,2.3000000000000003,2.7,30.63,12.32,43.2
-27.671111,27.236944,11-01-2011,192.1,42.2,2.1,2.9,30.029999,11.679999,40.5
-29.160278,26.573333,11-01-2011,199.1,29.5,1.5,2.7,29.3,9.62,28.4
-34.250556,20.9925,11-01-2011,140.2,51.900000000000006,2.6,12.3,24.189999,12.67,52.8
-25.45963889,28.26430556,11-01-2011,182.8,54.2,2.7,5.7000003,31.4,14.759999,52.2
-25.81048333,27.90955222,12-01-2011,164.1,100.5,5.0,5.1,28.97,16.56,96.1
-27.273889,28.49,12-01-2011,164.3,104.7,5.2,4.4,27.599998,14.009999,100.1
-27.4275,28.525833,12-01-2011,163.6,107.7,5.4,3.8,27.46,13.75,102.8
-28.883333,27.89,12-01-2011,164.2,105.80000000000001,5.300000000000001,3.3,26.349998,12.929999,101.0
-27.00222,28.76528,13-01-2011,161.6,95.4,4.800000000000001,5.0,27.63,14.11,91.200005
-27.02314,28.59389,13-01-2011,163.1,97.60000000000001,4.9,4.8,27.8,14.2,93.3
-30.534167,24.961944,13-01-2011,205.0,44.900000000000006,2.2,0.0,29.9,13.13,42.600002
-28.460833,21.248889,13-01-2011,244.7,52.300000000000004,2.6,0.0,33.62,16.89,49.600002
-29.658056,25.973333,14-01-2011,186.90001,71.0,3.6,2.2,28.289999,12.61,67.700005
-28.760833,17.730278,16-01-2011,257.5,1.3,0.1,0.0,34.98,19.64,1.2
-25.513889,31.224444,17-01-2011,149.40001,105.80000000000001,5.300000000000001,13.2,28.0,17.51,102.200005
-26.861111,28.884722,17-01-2011,161.0,89.0,4.5,5.2000003,27.43,14.009999,85.200005
-31.554722,29.245556,17-01-2011,123.700005,106.2,5.300000000000001,36.100002,24.68,16.57,115.3
-28.058889,30.373611,17-01-2011,158.0,99.60000000000001,5.0,4.2000003,28.029999,14.679999,95.0
