Latitude,Longitude,Sample Date,pet,ppt,q,soil,tmax,tmin,aet
-28.760833,17.730278,02-01-2011,236.3000030517578,8.3,0.4,0.0,35.7599983215332,21.029998779296875,7.900000095367432
-26.861111,28.884722,03-01-2011,134.3000030517578,175.0,8.8,35.70000076293945,25.40999984741211,14.09999942779541,134.3000030517578
-26.45,28.085833,03-01-2011,141.5,156.10000000000002,7.800000000000001,9.90000057220459,26.06999969482422,15.25,141.5
-27.671111,27.236944,03-01-2011,152.40000915527344,194.70000000000002,16.1,28.200000762939453,27.599998474121094,15.960000038146973,152.40000915527344
-27.356667,27.286389,03-01-2011,151.90000915527344,180.4,9.0,21.30000114440918,27.209999084472656,16.149999618530273,151.90000915527344
-27.01011111,26.69808333,04-01-2011,155.6999969482422,168.5,8.4,5.300000190734863,27.849998474121094,16.75,155.6999969482422
-25.127778,27.628889,04-01-2011,158.1999969482422,107.4,5.4,1.100000023841858,30.329999923706055,18.770000457763672,102.0999984741211
-25.20639,27.558,04-01-2011,156.5,110.10000000000001,5.5,1.100000023841858,30.029998779296875,18.600000381469727,104.5999984741211
-24.69514,27.40906,04-01-2011,157.8000030517578,108.2,5.4,1.399999976158142,30.51999855041504,19.84000015258789,102.9000015258789
-26.98472222,26.63227778,04-01-2011,155.1999969482422,170.3,8.5,8.300000190734863,28.010000228881836,17.0,155.1999969482422
-28.141944,26.417778,04-01-2011,157.0,187.0,9.3,22.30000114440918,28.170000076293945,16.53999900817871,157.0
-27.398611,26.614722,04-01-2011,160.6999969482422,173.20000000000002,8.700000000000001,4.300000190734863,28.35999870300293,17.03999900817871,160.6999969482422
-33.501667,21.624167,04-01-2011,185.90000915527344,15.700000000000001,0.8,0.10000000149011612,29.510000228881836,13.779999732971191,14.90000057220459
-32.502778,19.535833,04-01-2011,229.60000610351562,4.0,0.2,0.6000000238418579,34.0099983215332,16.35999870300293,3.799999952316284
-25.45963889,28.26430556,04-01-2011,149.5,122.4,6.1000000000000005,1.399999976158142,28.779998779296875,17.5,116.4000015258789
-27.495556,26.074722,04-01-2011,163.8000030517578,162.8,8.1,0.4000000059604645,28.59000015258789,16.600000381469727,154.6999969482422
-26.648056,27.089444,05-01-2011,148.1999969482422,156.60000000000002,7.800000000000001,1.399999976158142,26.829999923706055,15.9399995803833,148.1999969482422
-26.970278,27.211111,05-01-2011,149.3000030517578,169.5,8.5,13.300000190734863,27.0,16.190000534057617,149.3000030517578
-27.38972222,26.46388889,05-01-2011,162.1999969482422,170.20000000000002,8.5,0.4000000059604645,28.479999542236328,17.139999389648438,161.6999969482422
-27.044444,27.005,05-01-2011,151.6999969482422,172.0,8.6,13.40000057220459,27.399999618530273,16.510000228881836,151.6999969482422
-30.830556,26.921389,06-01-2011,152.0,138.0,6.9,0.5,28.329999923706055,14.079999923706055,131.10000610351562
-27.00222,28.76528,06-01-2011,134.6999969482422,179.4,9.0,39.20000076293945,25.6299991607666,14.279999732971191,134.6999969482422
-27.02314,28.59389,06-01-2011,136.90000915527344,179.20000000000002,9.0,36.79999923706055,25.959999084472656,14.609999656677246,136.90000915527344
-30.679722,26.7125,06-01-2011,155.60000610351562,135.3,6.800000000000001,0.4000000059604645,29.420000076293945,14.739999771118164,128.60000610351562
-30.160091,27.40124,06-01-2011,141.10000610351562,207.0,36.9,31.30000114440918,27.469999313354492,14.899999618530273,141.10000610351562
-32.595833,19.009444,06-01-2011,231.10000610351562,4.5,0.2,2.700000047683716,33.849998474121094,16.579999923706055,4.400000095367432
-25.99136,27.84208,10-01-2011,144.6999969482422,160.3,8.0,11.0,26.599998474121094,16.399999618530273,144.6999969482422
-26.73806,27.59194,10-01-2011,144.5,166.60000000000002,8.3,16.0,26.349998474121094,15.719999313354492,144.5
-26.45,28.085833,10-01-2011,141.5,156.10000000000002,7.800000000000001,9.90000057220459,26.06999969482422,15.25,141.5
-30.86013889,29.07125,10-01-2011,125.0999984741211,211.9,86.10000000000001,51.70000076293945,25.899999618530273,16.399999618530273,125.0999984741211
-27.356667,27.286389,10-01-2011,151.90000915527344,180.4,9.0,21.30000114440918,27.209999084472656,16.149999618530273,151.90000915527344
-27.01011111,26.69808333,11-01-2011,155.6999969482422,168.5,8.4,5.300000190734863,27.849998474121094,16.75,155.6999969482422
-25.73411,27.21422,11-01-2011,146.60000610351562,150.70000000000002,7.5,2.4000000953674316,27.579999923706055,16.19999885559082,143.3000030517578
-26.98472222,26.63227778,11-01-2011,155.1999969482422,170.3,8.5,8.300000190734863,28.010000228881836,17.0,155.1999969482422
