Latitude,Longitude,Sample Date,Total Alkalinity,Electrical Conductance,Dissolved Reactive Phosphorus,blue,green,red,nir,swir16,swir22,NDMI,MNDWI,NDVI,EVI,SAVI,NMDI,FAI,turbidity,NDWI,red_green,swir_nir,swir2_nir,NDTI,BSI,AWEI,SI
-28.760833,17.730278,02-01-2011,128.912,555.0,10.0,8889.0,9603.0,9178.0,8988.5,7916.0,7761.0,0.06344464491703355,0.09629545065357557,-0.010431288360443674,0.18151340996168583,-0.015646501899047725,0.12141280353200745,1.5015757526271045e-07,1.2131126831733046,0.033052739154990185,0.9557429969801005,0.8806808700005465,0.8634366134505105,-0.02262925296842542,-0.022403957508256658,-16841.875,0.8243257315422178
-26.861111,28.884722,03-01-2011,74.72,162.9,163.0,8692.0,9585.0,9273.0,17864.0,13916.0,10705.0,0.12422907488986745,-0.1842900302114796,0.3165788406972031,2.5836039937447373,0.4748595117457393,0.2694328806387752,1.8503124010749161e-06,0.6887755102040767,-0.30161390214579764,0.9674491392801151,0.7789968652037574,0.5992498880429882,-0.016544702513522025,-0.0676851944919086,-51228.75,1.4518518518518366
-26.45,28.085833,03-01-2011,89.254,573.0,80.0,,,,,,,,,,,,,,,,,,,,,,
-27.671111,27.236944,03-01-2011,82.0,203.6,101.0,8165.0,8250.0,8053.0,9244.0,8273.0,7882.0,0.05543186618713219,-0.0013919990316528393,0.06885587096028213,-0.8103143284800653,0.10328082092787975,0.10968033434993664,5.4136362450663e-06,0.9972198718723438,-0.056819480964902254,0.9761212121212003,0.8949588922544256,0.8526611856339155,-0.012083665583021456,-0.03210315695864819,-24078.5,1.0027878787878666
-27.356667,27.286389,03-01-2011,56.1,145.1,151.0,13719.0,14628.0,14916.5,19240.0,18799.0,15277.0,0.011593364704645202,-0.12477936997038284,0.1265791284235797,1.8484395040615649,0.18986591328278243,0.028057004707977937,1.1135853128507733e-06,0.7781264960902134,-0.13617574111255462,1.0197224500956998,0.9770790020789971,0.794022869022865,0.009764930866997208,0.011346166825397998,-63505.75,1.2851380913316839
-27.01011111,26.69808333,04-01-2011,82.2,289.8,192.0,8555.0,9305.0,9014.5,13376.5,10536.5,8924.0,0.11876385229791278,-0.06206688002419141,0.1948104148988433,3.3025439127801333,0.2922090972020633,0.2414144848690901,2.8659669624175876e-06,0.8831205808380308,-0.1795075281617177,0.9687802256851051,0.7876873621649849,0.6671401338167632,-0.01585741968940192,-0.057385644548906024,-32811.125,1.1323481998925187
-25.127778,27.628889,04-01-2011,125.0,438.0,163.0,4341.5,4810.0,4795.5,7277.5,7443.5,5802.5,-0.01127640785272732,-0.21491818664054993,0.20558270520997265,1.7778096124919418,0.308361287116412,-0.029450900381441863,9.373106877319515e-07,0.6462013837576323,-0.20413650465356772,0.9969854469854262,1.0228100309171966,0.7973205084163408,-0.001509551819270194,0.0259870902841813,-28310.25,1.5475051975051652
-25.20639,27.558,04-01-2011,116.62,568.0,69.0,8748.0,9334.5,9063.0,13336.5,9791.5,8555.5,0.1532774126599786,-0.023894175467949266,0.1907855086051028,5.07421040132985,0.286171875,0.2929631006983158,5.866164428880438e-06,0.9533268651381203,-0.17652507608839488,0.9709143499919549,0.7341881303190437,0.6415101413414266,-0.014757439869547414,-0.07889787244436826,-28689.75,1.0489581659435316
-24.69514,27.40906,04-01-2011,181.831,583.0,158.0,4384.0,4824.5,4604.5,6639.0,5486.5,4691.0,0.09504762690198264,-0.0642032780525646,0.18094899275136744,3.6670872386445565,0.2714114194236926,0.1972276888850826,2.3066895664669573e-06,0.8793401986694453,-0.15828499149474418,0.9543994196289574,0.8264045790028495,0.7065823166139372,-0.023332272775479654,-0.044141328028795855,-17208.0,1.1372162918436908
-26.98472222,26.63227778,04-01-2011,196.0,452.0,158.0,9115.5,10109.5,10227.0,15619.0,14906.0,12737.5,0.023357903357903283,-0.19174112050528597,0.20862028940648455,1.5645765023358384,0.3129243804770472,0.05300918181480203,1.1523843568284065e-06,0.6782168254394159,-0.21413996152127018,1.011622731094505,0.9543504705806969,0.8155131570523029,0.005777788705037712,0.007991176618037783,-58118.875,1.474454720807147
